id,datum,nove_pripady,nove_reinfekce,pripady_neockovani_neprodelali,pripady_neockovani_prodelali,pripady_ockovani_neprodelali,pripady_ockovani_prodelali,hospitalizace_bez_reinfekce,hospitalizace_vcetne_reinfekce,hospitalizace_pouze_reinfekce,nove_hospitalizace,nove_hospitalizace_komplet,hospitalizace_neockovani_neprodelali,hospitalizace_neockovani_prodelali,hospitalizace_ockovani_neprodelali,hospitalizace_ockovani_prodelali,jip_bez_reinfekce,jip_vcetne_reinfekce,jip_pouze_reinfekce,nove_jip,nove_jip_komplet,jip_neockovani_neprodelali,jip_neockovani_prodelali,jip_ockovani_neprodelali,jip_ockovani_prodelali
b0135293-1665-4c91-b36a-873c8d6a970e,2020-06-14,33,,33,,,,68,68,,5,5,68,,,,11,11,,1,1,11,,,
05eaaa44-7ad1-49d1-ae0a-30a2bc63ace0,2020-06-15,40,,40,,,,77,77,,11,11,77,,,,8,8,,,,8,,,
072fb698-c086-41da-b837-40e2e52320c8,2020-06-16,47,,47,,,,78,78,,6,6,78,,,,4,4,,,,4,,,
5ec8789a-1e34-4664-b371-2794a64078c5,2020-06-17,51,,51,,,,84,84,,7,9,84,,,,6,6,,1,2,6,,,
8d5b430e-b04a-4f33-ac7c-aaf3c0216e47,2020-06-18,118,,118,,,,83,83,,7,7,83,,,,8,8,,2,2,8,,,
5fb950b0-e7ed-40ec-834b-d89c5ff52ca5,2020-06-19,126,,126,,,,82,82,,7,7,82,,,,7,7,,,,7,,,
3f4693ae-7a04-4608-9cc5-fa0fd88b3949,2020-06-20,43,,43,,,,80,80,,6,7,80,,,,7,7,,,,7,,,
df4e103d-8839-48e0-8b50-8017caf8a99c,2020-06-21,50,,50,,,,74,74,,2,2,74,,,,9,9,,2,,9,,,
3b2cf0d7-a41e-4ce1-941c-4a7ae7b3c044,2020-06-22,64,,64,,,,75,75,,3,5,75,,,,9,9,,1,1,9,,,
126a1878-2d69-4097-82da-3dd25556d858,2020-06-23,89,,89,,,,77,77,,6,7,77,,,,6,6,,,,6,,,
1073045e-0b1a-47f2-82c5-eae78088f39f,2020-06-24,127,,127,,,,77,77,,7,9,77,,,,7,7,,2,1,7,,,
cabca95e-5693-4be0-abab-938dd8730083,2020-06-25,93,,93,,,,66,66,,1,2,66,,,,9,9,,2,2,9,,,
d84a2e3a-bf51-406a-a9e6-feb078e32554,2020-06-26,169,,169,,,,64,64,,5,6,64,,,,8,8,,,,8,,,
2e8149f2-fa25-4cbe-9611-5fa44223648b,2020-06-27,260,,260,,,,61,61,,4,4,61,,,,9,9,,2,1,9,,,
dd38f46f-4555-45fc-b9a0-f7417ae7c390,2020-06-28,305,,305,,,,66,66,,7,7,66,,,,10,10,,1,,10,,,
132269fc-a3d9-4ec2-b521-2b65ee78c056,2020-06-29,201,,201,,,,69,69,,5,5,69,,,,10,10,,2,2,10,,,
2bd11ff4-f6f2-4b34-96e3-d4734f132c2b,2020-06-30,149,,149,,,,71,71,,4,4,71,,,,8,8,,,,8,,,
20bb40f3-d5f8-4414-b153-c10e4bc4fb9c,2020-07-01,91,,91,,,,75,75,,10,10,75,,,,10,10,,3,2,10,,,
3a6640cc-d9c2-4e93-99e6-1723bbbdd1f5,2020-07-02,133,,133,,,,72,72,,4,4,72,,,,10,10,,1,,10,,,
9229c1cd-6c0d-4782-8c18-16da25ed3030,2020-07-03,141,,141,,,,71,71,,7,7,71,,,,11,11,,1,1,11,,,
03ddcd6d-3c53-4079-ac2c-552e497cac26,2020-07-04,121,,121,,,,70,70,,3,3,70,,,,11,11,,2,1,11,,,
5296d85f-f4e6-474d-892d-1608e314c032,2020-07-05,75,,75,,,,73,73,,9,9,73,,,,13,13,,1,1,13,,,
9ec5b58e-0a26-468c-b751-a477d0d1040e,2020-07-06,51,,51,,,,69,69,,2,2,69,,,,11,11,,,,11,,,
c9359332-1dc8-4967-b2af-f4271d88fa4b,2020-07-07,118,,118,,,,77,77,,10,12,77,,,,13,13,,2,3,13,,,
e4436f47-846c-430d-a09c-c16de23e2cdf,2020-07-08,129,1,129,1,,,85,85,,10,10,85,,,,14,14,,3,2,14,,,
da8eac2a-72c4-4e8a-9ec6-987c676878d7,2020-07-09,105,,105,,,,73,73,,5,5,73,,,,15,15,,4,1,15,,,
bc198e10-2b5e-49fb-8447-d8d3c766b161,2020-07-10,141,,141,,,,69,69,,5,5,69,,,,15,15,,1,1,15,,,
6780a589-69a5-4913-8260-6c99db19bd6e,2020-07-11,53,,53,,,,64,64,,3,3,64,,,,13,13,,,,13,,,
a119534c-9fae-4f96-afac-5ae926e35c5c,2020-07-12,59,,59,,,,65,65,,3,3,65,,,,14,14,,1,,14,,,
5aa85ee9-b071-4e69-9994-391dd4eb5b35,2020-07-13,66,,66,,,,71,71,,8,8,71,,,,14,14,,2,,14,,,
f976b44b-24f6-4dca-a436-6d616db11885,2020-07-14,105,,105,,,,71,71,,2,2,71,,,,13,13,,,,13,,,
64768fc3-f0f7-4409-bec3-c7b6b6076f80,2020-07-15,135,,135,,,,80,80,,13,13,80,,,,12,12,,,,12,,,
9eb944d7-ab5b-4220-81c3-81662fa70f73,2020-07-16,137,,137,,,,76,76,,5,5,76,,,,14,14,,2,2,14,,,
bf87f0f2-1680-4824-95a4-2641b2c007c4,2020-07-17,129,,129,,,,74,74,,6,6,74,,,,13,13,,,,13,,,
89aac52b-c006-46c7-9a0d-f5d733d5f2c2,2020-07-18,112,,112,,,,74,74,,8,8,74,,,,12,12,,1,,12,,,
56d7dfb9-d518-4393-946c-9cc25721e94d,2020-07-19,91,,91,,,,74,74,,4,4,74,,,,14,14,,1,1,14,,,
ce7ba977-874f-4a57-92ce-ab5fb999cbaf,2020-07-20,168,,168,,,,71,71,,3,3,71,,,,14,14,,2,,14,,,
8180f700-9551-4692-b017-b649c0c78249,2020-07-21,208,,208,,,,78,78,,10,10,78,,,,13,13,,,,13,,,
013ae337-515d-4374-93a2-f8811b90edd9,2020-07-22,245,,245,,,,92,92,,17,17,92,,,,12,12,,,,12,,,
f22e3aca-7ba4-43df-8a30-f42985b090d6,2020-07-23,231,,231,,,,91,91,,10,10,91,,,,14,14,,2,1,14,,,
2436cf38-9d74-4e0b-b93d-2101a6ebe19f,2020-07-24,278,,278,,,,94,94,,9,9,94,,,,15,15,,1,1,15,,,
319e4072-6156-431c-a8cf-56ca4ed774b8,2020-07-25,132,,132,,,,92,92,,9,9,92,,,,14,14,,,,14,,,
bdfd64ef-d85e-4a61-aae9-2e58f82f74d5,2020-07-26,114,,114,,,,91,91,,5,5,91,,,,14,14,,1,1,14,,,
3c5e7f3a-f5a6-4adb-a83d-58e0eae3b0bb,2020-07-27,194,,194,,,,109,109,,22,22,109,,,,16,16,,3,2,16,,,
0f90c4be-d2a7-4629-9616-fe3d582d1c78,2020-07-28,276,,276,,,,114,114,,11,11,114,,,,16,16,,1,,16,,,
764458aa-9afa-4563-883c-c05ac5410176,2020-07-29,274,,274,,,,116,116,,15,15,116,,,,18,18,,2,1,18,,,
3a0d8b96-b207-48bc-a25d-520c26eeb662,2020-07-30,254,,254,,,,117,117,,12,13,117,,,,18,18,,1,1,18,,,
37202b26-4341-4e66-8c56-c90ba28100f5,2020-07-31,231,,231,,,,114,114,,12,12,114,,,,17,17,,1,1,17,,,
cd872758-e6f8-4a15-bb75-e6f4b26d83e6,2020-08-01,125,,125,,,,116,116,,8,9,116,,,,15,15,,,,15,,,
fd91beb9-a5e0-4dd7-8b72-5e3514f43081,2020-08-02,101,,101,,,,109,109,,3,3,109,,,,15,15,,1,,15,,,
8a070e99-5587-420e-8aba-6bba578271f5,2020-08-03,208,,208,,,,113,113,,10,11,113,,,,14,14,,1,1,14,,,
82ca7fcb-08dc-48c2-8ad3-03df9730a327,2020-08-04,287,,287,,,,115,115,,14,14,115,,,,14,14,,2,2,14,,,
9819ccfd-4540-4b2b-b35b-a24981247257,2020-08-05,241,,241,,,,110,110,,9,9,110,,,,15,15,,2,1,15,,,
4d99e5cd-11ae-45ea-a7c8-a4149ea002eb,2020-08-06,215,,215,,,,105,105,,4,4,105,,,,15,15,,,,15,,,
a3075244-45a0-421a-879c-f5d19aff0198,2020-08-07,322,,322,,,,106,106,,14,14,106,,,,17,17,,4,2,17,,,
e747dd44-73ec-41cb-8bd3-1456322c2752,2020-08-08,173,,173,,,,104,104,,9,9,104,,,,12,12,,1,1,12,,,
